ItemNumber,ShippingReportWeight
A10832,0.132
A6154,0.021772434
316098,0.08573
A8458,2.7
A6138,0.341101462
A1627,0.782446838
A6977,0.2693
A4082,0.008
A5215,0.109769354
A2114,0.101604691
A2712,0.212281229
18725,0.075
16681,0.049
12385,0.025
A4089,0.133809749
A2400,0.116
16034,0.064
21587,0.003
E3889,0.4536
E1944,0.406872356
297328,0.041
16083,0.118
192846,0.35
16291,0.112
14038,0.026
A4230,0.017690102
194668,0.013
A1368,3.479960663
A2482,11.2
A8702,0.011
A10724,1.303
A3180,1.419744118
20097,0.007
A2655,0.33
A3305,0.234
A4448,0.1316
171113,0.068
20784,0.003
170800,0.044
12571,0.009
A10380,2.9847
A3810,2.12
A3135,0.415490611
13290,0.031
12620,0.046
16706,0.005
19415,0.008
13662,0.001
A3939,0.149
A2956,0.843
22074,0.0104
A2134,0.727562161
A2204,1.419744118
A3312,0.0322
A2871,0.114
A4417,0.0811
319811,1
A3317,0.079
19048,0.132
E2991,0.119748386
13882,0.015
15226,0.009
318385,0.012
18795,0.061
16310,0.102
11845,0.171
19934,0.144
18599,0.026
18594,0.023
11860,0.016
21909,0.003
13713,0.443
11948,0.044
13949,0.029
20577,0.002
12459,0.17
A4429,0.073935556
A7699,0.298
20412,0.006
10466,0.151
16373,0.042
169603,0.02
16604,0.037
21672,0.011
20830,0.005
A4770,0.109769354
A4817,0.072121187
A4407,0.1581
A2965,0.765
E2898,2.109658113
E1762,0.957
15922,0.009
305809,0.004
15400,0.122
13987,0.013
19285,0.054
20316,0.024
20409,0.001
E2560,0.251743765
A10847,1.08
A3371,0.173
A4750,0.314
A8406,0.229
A8743,0.009
A3060,0.066
20767,0.069
13947,0.023
A8701,0.037
A3124,0.116
A5708,0.1831
13183,0.036
10577,0.072
18586,0.181
E3022,0.631
E1289,2.269776219
E3099,0.039
E3730,0.11
E3964,0.2458
E3685,0.058059823
E1558,0.212
E2176,0.115
E4898,1.37
E1404,0.605
E3171,0.4949
E3115,0.1565
168968,1.404
E1882,5.1
A3856,0.342008647
E2647,0.903
E3886,1.6163
E3216,0.255
E1018,0.756
E2593,1.199751819
E3787,0.093893621
E3234,0.299824557
E3862,0.21046686
E4764,0.144
E4829,0.551
E3905,4.613
E4181,0.548
11797,0.001
20136,0.385
13085,0.012
17110,0.7493346
10013,0.008
A8345,0.461
A3052,0.283
20950,0.0158
E3298,0.6793
A3318,2.2
E1675,0.884958714
17779,0.142
19754,0.002
17553,0.007
14060,0.081
A4778,0.5873
16081,0.227
20036,0.003
A3417,0.357
21494,0.005
A1928,3.909966229
A10893,2.1
A3237,0.406872356
A2643,4.31
319555,1
A5132,0.5
A5515,0.4536
15881,0.003
16376,0.005
A4227,0.035833797
18875,0.33
21894,0.003
21359,0.005
A2172,0.23
E1224,5
A5599,0.121
A5795,0.0622
A6915,0.149685482
A4426,0.221806669
A2184,0.670863115
A3091,0.187787241
11578,0.041
A5211,0.2426
A5816,0.5095
A4398,0.185972872
A4465,0.037648167
A4449,0.1565
A5887,0.1444
A5597,0.236
A4117,0.184612095
A10901,0.432
19784,0.018
A5841,0.5963
A4621,1.19
A4466,0.043091275
A7208,0.2233
A5637,0.199580643
A5684,0.1266
A2386,1.284573592
A6045,1.131259371
A4506,0.354709233
A3670,0.131
A10417,0.7202
A1837,1.579862225
A5579,0.928049989
A6168,1.6087
A1057,1.700971388
A3404,0.044
A8699,0.009
A3277,1.09860072
A4228,0.017690102
A2196,0.396
A2796,0.0658
A3980,0.076657111
A3117,0.16465403
